t,py,vy
2.6833,2.028160,-1.266914
2.6917,2.017262,-1.348664
2.7000,2.005683,-1.430414
2.7083,1.993422,-1.512164
2.7167,1.980480,-1.593914
2.7250,1.966857,-1.675664
2.7333,1.952552,-1.757414
2.7417,1.937566,-1.839164
2.7500,1.921899,-1.920914
2.7583,1.905551,-2.002664
2.7667,1.888522,-2.084414
2.7750,1.870811,-2.166164
2.7833,1.852419,-2.247914
2.7917,1.833346,-2.329664
2.8000,1.813591,-2.411414
2.8083,1.793155,-2.493164
2.8167,1.772038,-2.574914
2.8250,1.750240,-2.656664
2.8333,1.727761,-2.738414
2.8417,1.704600,-2.820164
2.8500,1.680758,-2.901914
2.8583,1.656235,-2.983664
2.8667,1.631030,-3.065414
2.8750,1.605144,-3.147164
2.8833,1.578577,-3.228914
2.8917,1.551329,-3.310664
2.9000,1.523400,-3.392414
2.9083,1.494789,-3.474164
2.9167,1.465497,-3.555914
2.9250,1.435524,-3.637664
2.9333,1.404869,-3.719414
2.9417,1.373533,-3.801164
2.9500,1.341516,-3.882914
2.9583,1.308818,-3.964664
2.9667,1.275439,-4.046414
2.9750,1.241378,-4.128164
2.9833,1.206636,-4.209914
2.9917,1.171213,-4.291664
3.0000,1.135108,-4.373414
3.0083,1.098322,-4.455164
3.0167,1.060855,-4.536914
3.0250,1.022707,-4.618664
3.0333,0.983878,-4.700414
3.0417,0.944367,-4.782164
3.0500,0.904175,-4.863914
3.0583,0.863302,-4.945664
3.0667,0.821747,-5.027414
3.0750,0.779512,-5.109164
3.0833,0.736595,-5.190914
3.0917,0.692996,-5.272664
3.1000,0.648717,-5.354414
3.1083,0.603756,-5.436164
3.1167,0.558114,-5.517914
3.1250,0.511791,-5.599664
3.1333,0.464786,-5.681414
3.1417,0.417101,-5.763164
3.1500,0.368734,-5.844914
3.1583,0.319685,-5.926664
3.1667,0.269956,-6.008414
3.1750,0.219545,-6.090164
3.1833,0.168453,-6.171914
3.1917,0.116680,-6.253664
3.2000,0.155273,6.192803
3.2083,0.206539,6.111053
3.2167,0.257123,6.029303
3.2250,0.307027,5.947553
3.2333,0.356249,5.865803
3.2417,0.404790,5.784053
3.2500,0.452650,5.702303
3.2583,0.499829,5.620553
3.2667,0.546326,5.538803
3.2750,0.592142,5.457053
3.2833,0.637277,5.375303
3.2917,0.681731,5.293553
3.3000,0.725503,5.211803
3.3083,0.768594,5.130053
3.3167,0.811004,5.048303
3.3250,0.852732,4.966553
3.3333,0.893780,4.884803
3.3417,0.934146,4.803053
3.3500,0.973831,4.721303
3.3583,1.012834,4.639553
3.3667,1.051156,4.557803
3.3750,1.088797,4.476053
3.3833,1.125757,4.394303
3.3917,1.162036,4.312553
3.4000,1.197633,4.230803
3.4083,1.232549,4.149053
3.4167,1.266784,4.067303
3.4250,1.300338,3.985553
3.4333,1.333210,3.903803
3.4417,1.365401,3.822053
3.4500,1.396911,3.740303
3.4583,1.427739,3.658553
3.4667,1.457887,3.576803
3.4750,1.487353,3.495053
3.4833,1.516138,3.413303
3.4917,1.544241,3.331553
3.5000,1.571663,3.249803
3.5083,1.598405,3.168053
3.5167,1.624464,3.086303
3.5250,1.649843,3.004553
3.5333,1.674540,2.922803
3.5417,1.698556,2.841053
3.5500,1.721891,2.759303
3.5583,1.744545,2.677553
3.5667,1.766517,2.595803
3.5750,1.787808,2.514053
3.5833,1.808418,2.432303
3.5917,1.828346,2.350553
3.6000,1.847594,2.268803
3.6083,1.866160,2.187053
3.6167,1.884045,2.105303
3.6250,1.901248,2.023553
3.6333,1.917771,1.941803
3.6417,1.933612,1.860053
3.6500,1.948771,1.778303
3.6583,1.963250,1.696553
3.6667,1.977047,1.614803
3.6750,1.990163,1.533053
3.6833,2.002598,1.451303
3.6917,2.014352,1.369553
3.7000,2.025424,1.287803
3.7083,2.035815,1.206053
3.7167,2.045525,1.124303
3.7250,2.054554,1.042553
3.7333,2.062901,0.960803
3.7417,2.070567,0.879053
3.7500,2.077552,0.797303
3.7583,2.083855,0.715553
3.7667,2.089478,0.633803
3.7750,2.094419,0.552053
3.7833,2.098679,0.470303
3.7917,2.102257,0.388553
3.8000,2.105154,0.306803
3.8083,2.107370,0.225053
3.8167,2.108905,0.143303
3.8250,2.109759,0.061553
3.8333,2.109931,-0.020197
3.8417,2.109422,-0.101947
3.8500,2.108232,-0.183697
3.8583,2.106361,-0.265447
3.8667,2.103808,-0.347197
3.8750,2.100574,-0.428947
3.8833,2.096659,-0.510697
3.8917,2.092062,-0.592447
3.9000,2.086785,-0.674197
3.9083,2.080826,-0.755947
3.9167,2.074186,-0.837697
3.9250,2.066864,-0.919447
3.9333,2.058862,-1.001197
3.9417,2.050178,-1.082947
3.9500,2.040812,-1.164697
3.9583,2.030766,-1.246447
3.9667,2.020038,-1.328197
3.9750,2.008629,-1.409947
3.9833,1.996539,-1.491697
3.9917,1.983768,-1.573447
4.0000,1.970315,-1.655197
4.0083,1.956181,-1.736947
4.0167,1.941366,-1.818697
4.0250,1.925869,-1.900447
4.0333,1.909692,-1.982197
4.0417,1.892833,-2.063947
4.0500,1.875293,-2.145697
4.0583,1.857071,-2.227447
4.0667,1.838169,-2.309197
4.0750,1.818585,-2.390947
4.0833,1.798319,-2.472697
4.0917,1.777373,-2.554447
4.1000,1.755745,-2.636197
4.1083,1.733436,-2.717947
4.1167,1.710446,-2.799697
4.1250,1.686775,-2.881447
4.1333,1.662422,-2.963197
4.1417,1.637388,-3.044947
4.1500,1.611673,-3.126697
4.1583,1.585277,-3.208447
4.1667,1.558199,-3.290197
4.1750,1.530440,-3.371947
4.1833,1.502000,-3.453697
4.1917,1.472878,-3.535447
4.2000,1.443076,-3.617197
4.2083,1.412592,-3.698947
4.2167,1.381427,-3.780697
4.2250,1.349580,-3.862447
4.2333,1.317052,-3.944197
4.2417,1.283844,-4.025947
4.2500,1.249953,-4.107697
4.2583,1.215382,-4.189447
4.2667,1.180129,-4.271197
4.2750,1.144195,-4.352947
4.2833,1.107580,-4.434697
4.2917,1.070284,-4.516447
4.3000,1.032306,-4.598197
4.3083,0.993647,-4.679947
4.3167,0.954307,-4.761697
4.3250,0.914285,-4.843447
4.3333,0.873583,-4.925197
4.3417,0.832199,-5.006947
4.3500,0.790134,-5.088697
4.3583,0.747387,-5.170447
4.3667,0.703960,-5.252197
4.3750,0.659851,-5.333947
4.3833,0.615060,-5.415697
4.3917,0.569589,-5.497447
4.4000,0.523436,-5.579197
4.4083,0.476602,-5.660947
4.4167,0.429087,-5.742697
4.4250,0.380891,-5.824447
4.4333,0.332013,-5.906197
4.4417,0.282454,-5.987947
4.4500,0.232214,-6.069697
4.4583,0.181293,-6.151447
4.4667,0.129690,-6.233197
4.4750,0.142346,6.213221
4.4833,0.193782,6.131471
4.4917,0.244537,6.049721
4.5000,0.294611,5.967971
4.5083,0.344003,5.886221
4.5167,0.392715,5.804471
4.5250,0.440745,5.722721
4.5333,0.488093,5.640971
4.5417,0.534761,5.559221
4.5500,0.580747,5.477471
4.5583,0.626052,5.395721
4.5667,0.670676,5.313971
4.5750,0.714618,5.232221
4.5833,0.757879,5.150471
4.5917,0.800459,5.068721
4.6000,0.842358,4.986971
4.6083,0.883576,4.905221
4.6167,0.924112,4.823471
4.6250,0.963967,4.741721
4.6333,1.003141,4.659971
4.6417,1.041633,4.578221
4.6500,1.079444,4.496471
4.6583,1.116574,4.414721
4.6667,1.153023,4.332971
4.6750,1.188790,4.251221
4.6833,1.223877,4.169471
4.6917,1.258282,4.087721
4.7000,1.292005,4.005971
4.7083,1.325048,3.924221
4.7167,1.357409,3.842471
4.7250,1.389089,3.760721
4.7333,1.420088,3.678971
4.7417,1.450405,3.597221
4.7500,1.480041,3.515471
4.7583,1.508996,3.433721
4.7667,1.537270,3.351971
4.7750,1.564862,3.270221
4.7833,1.591774,3.188471
4.7917,1.618004,3.106721
4.8000,1.643552,3.024971
4.8083,1.668420,2.943221
4.8167,1.692606,2.861471
4.8250,1.716111,2.779721
4.8333,1.738935,2.697971
4.8417,1.761077,2.616221
4.8500,1.782538,2.534471
4.8583,1.803318,2.452721
4.8667,1.823417,2.370971
4.8750,1.842835,2.289221
4.8833,1.861571,2.207471
4.8917,1.879626,2.125721
4.9000,1.897000,2.043971
4.9083,1.913692,1.962221
4.9167,1.929703,1.880471
4.9250,1.945033,1.798721
4.9333,1.959682,1.716971
4.9417,1.973649,1.635221
4.9500,1.986936,1.553471
4.9583,1.999541,1.471721
4.9667,2.011464,1.389971
4.9750,2.022707,1.308221
4.9833,2.033268,1.226471
4.9917,2.043148,1.144721
5.0000,2.052347,1.062971
5.0083,2.060864,0.981221
5.0167,2.068700,0.899471
5.0250,2.075855,0.817721
5.0333,2.082329,0.735971
5.0417,2.088122,0.654221
5.0500,2.093233,0.572471
5.0583,2.097663,0.490721
5.0667,2.101411,0.408971
5.0750,2.104479,0.327221
5.0833,2.106865,0.245471
5.0917,2.108570,0.163721
5.1000,2.109594,0.081971
5.1083,2.109936,0.000221
5.1167,2.109597,-0.081529
5.1250,2.108577,-0.163279
5.1333,2.106876,-0.245029
5.1417,2.104494,-0.326779
5.1500,2.101430,-0.408529
5.1583,2.097685,-0.490279
5.1667,2.093259,-0.572029
5.1750,2.088151,-0.653779
5.1833,2.082362,-0.735529
5.1917,2.075892,-0.817279
5.2000,2.068741,-0.899029
5.2083,2.060908,-0.980779
5.2167,2.052395,-1.062529
5.2250,2.043200,-1.144279
5.2333,2.033323,-1.226029
5.2417,2.022766,-1.307779
5.2500,2.011527,-1.389529
5.2583,1.999607,-1.471279
5.2667,1.987006,-1.553029
5.2750,1.973723,-1.634779
5.2833,1.959759,-1.716529
5.2917,1.945114,-1.798279
5.3000,1.929788,-1.880029
5.3083,1.913781,-1.961779
5.3167,1.897092,-2.043529
5.3250,1.879722,-2.125279
5.3333,1.861670,-2.207029
5.3417,1.842938,-2.288779
5.3500,1.823524,-2.370529
5.3583,1.803429,-2.452279
5.3667,1.782653,-2.534029
5.3750,1.761195,-2.615779
5.3833,1.739056,-2.697529
5.3917,1.716236,-2.779279
5.4000,1.692735,-2.861029
5.4083,1.668553,-2.942779
5.4167,1.643689,-3.024529
5.4250,1.618144,-3.106279
5.4333,1.591918,-3.188029
5.4417,1.565010,-3.269779
5.4500,1.537421,-3.351529
5.4583,1.509151,-3.433279
5.4667,1.480200,-3.515029
5.4750,1.450567,-3.596779
5.4833,1.420254,-3.678529
5.4917,1.389259,-3.760279
5.5000,1.357582,-3.842029
5.5083,1.325225,-3.923779
5.5167,1.292186,-4.005529
5.5250,1.258466,-4.087279
5.5333,1.224065,-4.169029
5.5417,1.188982,-4.250779
5.5500,1.153218,-4.332529
5.5583,1.116773,-4.414279
5.5667,1.079647,-4.496029
5.5750,1.041840,-4.577779
