t,sidespin_x,sidespin_z,topspin_x,topspin_z,backspin_x,backspin_z,nospin_z
4.9500,21.8823,44.2452,0.0000,45.2489,0.0000,58.9692,51.7573
5.0000,22.0271,44.3702,0.0000,45.4176,0.0000,59.2140,51.9583
5.0500,22.1698,44.4931,0.0000,45.5834,0.0000,59.4582,52.1562
5.1000,22.3104,44.6138,0.0000,45.7464,0.0000,59.7014,52.3510
5.1500,22.4489,44.7324,0.0000,45.9066,0.0000,59.9431,52.5429
5.2000,22.5853,44.8489,0.0000,46.0638,0.0000,60.1814,52.7317
5.2500,22.7196,44.9634,0.0000,46.2183,0.0000,60.4167,52.9175
5.3000,22.8517,45.0758,0.0000,46.3698,0.0000,60.6515,53.1004
5.3500,22.9818,45.1862,0.0000,46.5186,0.0000,60.8855,53.2803
5.4000,23.1097,45.2946,0.0000,46.6645,0.0000,61.1175,53.4573
5.4500,23.2356,45.4011,0.0000,46.8076,0.0000,61.3460,53.6313
5.5000,23.3594,45.5056,0.0000,46.9479,0.0000,61.5736,53.8024
5.5500,23.4811,45.6081,0.0000,47.0855,0.0000,61.7998,53.9706
5.6000,23.6007,45.7087,0.0000,47.2202,0.0000,62.0226,54.1360
5.6500,23.7182,45.8074,0.0000,47.3522,0.0000,62.2423,54.2985
5.7000,23.8336,45.9042,0.0000,47.4815,0.0000,62.4588,54.4582
5.7500,23.9469,45.9990,0.0000,47.6080,0.0000,62.6721,54.6150
5.8000,24.0581,46.0920,0.0000,47.7318,0.0000,62.8824,54.7689
5.8500,24.1673,46.1831,0.0000,47.8528,0.0000,63.0895,54.9200
5.9000,24.2743,46.2723,0.0000,47.9712,0.0000,63.2935,55.0683
5.9500,24.3793,46.3597,0.0000,48.0868,0.0000,63.4945,55.2137
6.0000,24.4822,46.4452,0.0000,48.1998,0.0000,63.6924,55.3564
