t,tick,state,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,forces,forcesNames,cnx,cny,cnz,hasContact,penetration,vSlip
49.608333,5953,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.616667,5954,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.625000,5955,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.633333,5956,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.641667,5957,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.650000,5958,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.658333,5959,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.666667,5960,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.675000,5961,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.683333,5962,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.691667,5963,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.700000,5964,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.708333,5965,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.716667,5966,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.725000,5967,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.733333,5968,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.741667,5969,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.750000,5970,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.758333,5971,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.766667,5972,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.775000,5973,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.783333,5974,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.791667,5975,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.800000,5976,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
